Text,Person Type,Sleep Amount(hours),Drink Type,Mental Health,Source
Dealing with violent crimes affects my mental state.,Police Officer,3,Herbal Tea,Anxious,Blog
Deployments failing last minute make me nervous.,Software Developer,3,Energy Drink,Nervous,Forum
Night shifts mess with my sleep cycle.,Customer Support Agent,3,Herbal Tea,Overwhelmed,Blog
Late closing duties reduce my sleep time.,Chef,3,Green Tea,Nervous,Social Media
Back-to-back hearings give me anxiety.,Lawyer,7,Black Tea,Nervous,Forum
Syllabus planning leaves me mentally tired.,Teacher,5,No Drink,Restless,Blog
Solving critical bugs under pressure makes me restless.,Engineer,6,Coffee,Tired,Interview
Revising late at night makes me mentally tired.,Student,3,Coffee,Anxious,Interview
Double shifts back-to-back leave me drained.,Nurse,8,Milk Tea,Anxious,Blog
Working on multiple brand campaigns at once overwhelms me.,Designer,4,Coffee,Tired,Survey
Surgical emergencies make me anxious.,Doctor,7,Coffee,Nervous,Social Media
Constant data verification is mentally tiring.,Accountant,4,Black Tea,Anxious,Survey
Dealing with violent crimes affects my mental state.,Police Officer,6,Coffee,Stressed,Blog
Code reviews and feature deadlines stress me.,Software Developer,4,Milk Tea,Nervous,Social Media
Back-to-back calls make me feel mentally fatigued.,Customer Support Agent,3,Black Tea,Overwhelmed,Interview
Late closing duties reduce my sleep time.,Chef,5,Herbal Tea,Anxious,Survey
Reviewing evidence until midnight is exhausting.,Lawyer,6,Green Tea,Tired,Blog
Conducting back-to-back lectures wears me out.,Teacher,8,No Drink,Nervous,Social Media
System outages at night disrupt my sleep.,Engineer,5,No Drink,Anxious,Interview
Balancing assignments and social life stresses me.,Student,7,No Drink,Nervous,Survey
Emergency cases at odd hours affect my mental peace.,Nurse,3,Milk Tea,Restless,Forum
Client indecisiveness makes revisions never-ending.,Designer,6,Black Tea,Restless,Interview
Handling critical patients continuously wears me down.,Doctor,6,Black Tea,Overwhelmed,Blog
Constant data verification is mentally tiring.,Accountant,4,Coffee,Anxious,Blog
Dealing with violent crimes affects my mental state.,Police Officer,6,Energy Drink,Nervous,Survey
Code reviews and feature deadlines stress me.,Software Developer,5,Milk Tea,Anxious,Blog
Back-to-back calls make me feel mentally fatigued.,Customer Support Agent,8,Coffee,Tired,Social Media
Long hours in a hot kitchen leave me tired.,Chef,3,No Drink,Overwhelmed,Blog
Back-to-back hearings give me anxiety.,Lawyer,8,Coffee,Tired,Interview
Unruly students make classroom management stressful.,Teacher,3,Milk Tea,Nervous,Interview
Technical meetings all day are mentally exhausting.,Engineer,7,Milk Tea,Nervous,Forum
Balancing assignments and social life stresses me.,Student,6,Milk Tea,Restless,Forum
Double shifts back-to-back leave me drained.,Nurse,5,Herbal Tea,Nervous,Blog
Working on multiple brand campaigns at once overwhelms me.,Designer,3,Milk Tea,Anxious,Forum
Handling critical patients continuously wears me down.,Doctor,3,Herbal Tea,Restless,Forum
Month-end closings keep me up all night.,Accountant,4,Green Tea,Restless,Blog
Dealing with violent crimes affects my mental state.,Police Officer,3,No Drink,Tired,Blog
Deployments failing last minute make me nervous.,Software Developer,6,Green Tea,Tired,Forum
Back-to-back calls make me feel mentally fatigued.,Customer Support Agent,4,Energy Drink,Tired,Interview
Managing kitchen staff during rush hours stresses me.,Chef,7,Energy Drink,Stressed,Forum
Reviewing evidence until midnight is exhausting.,Lawyer,8,No Drink,Restless,Survey
Unruly students make classroom management stressful.,Teacher,3,Green Tea,Overwhelmed,Social Media
System outages at night disrupt my sleep.,Engineer,8,Herbal Tea,Nervous,Blog
Too many exams close together make me anxious.,Student,8,Coffee,Restless,Interview
Night duty frequently breaks my sleep cycle.,Nurse,7,Herbal Tea,Overwhelmed,Social Media
Coming up with creative concepts under pressure is tiring.,Designer,6,Milk Tea,Overwhelmed,Interview
On-call duty during weekends affects my rest.,Doctor,8,Herbal Tea,Nervous,Social Media
Constant data verification is mentally tiring.,Accountant,5,Coffee,Overwhelmed,Forum
Responding to calls at odd hours makes me anxious.,Police Officer,8,Black Tea,Restless,Survey
Code reviews and feature deadlines stress me.,Software Developer,7,No Drink,Anxious,Survey
Back-to-back calls make me feel mentally fatigued.,Customer Support Agent,3,Coffee,Overwhelmed,Blog
Long hours in a hot kitchen leave me tired.,Chef,6,Energy Drink,Anxious,Forum
Back-to-back hearings give me anxiety.,Lawyer,4,Black Tea,Anxious,Forum
Conducting back-to-back lectures wears me out.,Teacher,8,Energy Drink,Restless,Forum
System outages at night disrupt my sleep.,Engineer,5,Herbal Tea,Nervous,Interview
Revising late at night makes me mentally tired.,Student,7,No Drink,Overwhelmed,Forum
Double shifts back-to-back leave me drained.,Nurse,6,Green Tea,Restless,Blog
Working on multiple brand campaigns at once overwhelms me.,Designer,6,Black Tea,Anxious,Social Media
Surgical emergencies make me anxious.,Doctor,7,No Drink,Anxious,Interview
Constant data verification is mentally tiring.,Accountant,7,Herbal Tea,Tired,Forum
Night patrols disturb my sleep routine.,Police Officer,6,Green Tea,Stressed,Interview
Frequent virtual meetings leave me drained.,Software Developer,5,Green Tea,Anxious,Interview
Dealing with angry clients all day wears me out.,Customer Support Agent,8,Milk Tea,Anxious,Social Media
Long hours in a hot kitchen leave me tired.,Chef,5,Green Tea,Stressed,Interview
Back-to-back hearings give me anxiety.,Lawyer,3,Milk Tea,Restless,Interview
Syllabus planning leaves me mentally tired.,Teacher,3,Energy Drink,Stressed,Forum
Technical meetings all day are mentally exhausting.,Engineer,8,Milk Tea,Nervous,Social Media
Revising late at night makes me mentally tired.,Student,6,Energy Drink,Anxious,Social Media
Night duty frequently breaks my sleep cycle.,Nurse,3,Milk Tea,Stressed,Interview
Working on multiple brand campaigns at once overwhelms me.,Designer,6,Energy Drink,Stressed,Forum
Handling critical patients continuously wears me down.,Doctor,8,Herbal Tea,Stressed,Social Media
Constant data verification is mentally tiring.,Accountant,6,Coffee,Tired,Social Media
Responding to calls at odd hours makes me anxious.,Police Officer,4,Black Tea,Tired,Social Media
Frequent virtual meetings leave me drained.,Software Developer,8,Black Tea,Restless,Forum
Handling angry clients all day is exhausting.,Customer Support Agent,8,Black Tea,Anxious,Interview
Long hours in a hot kitchen leave me tired.,Chef,7,Milk Tea,Anxious,Forum
Legal formalities keep me mentally occupied all day.,Lawyer,7,Coffee,Tired,Forum
Syllabus planning leaves me mentally tired.,Teacher,7,Energy Drink,Restless,Survey
Technical meetings all day are mentally exhausting.,Engineer,3,Black Tea,Restless,Interview
Balancing assignments and social life stresses me.,Student,7,No Drink,Restless,Interview
Double shifts back-to-back leave me drained.,Nurse,5,Black Tea,Stressed,Social Media
Working on multiple brand campaigns at once overwhelms me.,Designer,8,Energy Drink,Nervous,Forum
On-call duty during weekends affects my rest.,Doctor,8,Black Tea,Restless,Interview
Month-end closings keep me up all night.,Accountant,3,Green Tea,Stressed,Interview
Responding to calls at odd hours makes me anxious.,Police Officer,6,Herbal Tea,Stressed,Survey
Code reviews and feature deadlines stress me.,Software Developer,7,Herbal Tea,Tired,Social Media
Night shifts mess with my sleep cycle.,Customer Support Agent,6,Milk Tea,Restless,Interview
Late closing duties reduce my sleep time.,Chef,6,Green Tea,Anxious,Social Media
Legal formalities keep me mentally occupied all day.,Lawyer,4,Black Tea,Restless,Blog
Syllabus planning leaves me mentally tired.,Teacher,3,No Drink,Anxious,Forum
Solving critical bugs under pressure makes me restless.,Engineer,8,Green Tea,Tired,Blog
Balancing assignments and social life stresses me.,Student,3,No Drink,Stressed,Survey
Double shifts back-to-back leave me drained.,Nurse,4,Black Tea,Stressed,Social Media
Coming up with creative concepts under pressure is tiring.,Designer,6,Energy Drink,Anxious,Survey
On-call duty during weekends affects my rest.,Doctor,6,No Drink,Anxious,Forum
Month-end closings keep me up all night.,Accountant,3,Herbal Tea,Anxious,Survey
Responding to calls at odd hours makes me anxious.,Police Officer,6,No Drink,Restless,Forum
Code reviews and feature deadlines stress me.,Software Developer,5,Coffee,Tired,Social Media
Handling angry clients all day is exhausting.,Customer Support Agent,5,Green Tea,Stressed,Social Media
Late closing duties reduce my sleep time.,Chef,3,Coffee,Restless,Survey
Legal formalities keep me mentally occupied all day.,Lawyer,6,No Drink,Restless,Forum
Syllabus planning leaves me mentally tired.,Teacher,5,Herbal Tea,Anxious,Interview
Solving critical bugs under pressure makes me restless.,Engineer,3,No Drink,Restless,Blog
Balancing assignments and social life stresses me.,Student,8,Black Tea,Overwhelmed,Forum
Emergency cases at odd hours affect my mental peace.,Nurse,6,Green Tea,Stressed,Social Media
Client indecisiveness makes revisions never-ending.,Designer,4,Coffee,Stressed,Interview
On-call duty during weekends affects my rest.,Doctor,7,Green Tea,Anxious,Social Media
Constant data verification is mentally tiring.,Accountant,3,Black Tea,Stressed,Interview
Dealing with violent crimes affects my mental state.,Police Officer,4,Black Tea,Tired,Blog
Deployments failing last minute make me nervous.,Software Developer,7,Energy Drink,Restless,Blog
Back-to-back calls make me feel mentally fatigued.,Customer Support Agent,8,No Drink,Anxious,Social Media
Managing kitchen staff during rush hours stresses me.,Chef,7,Black Tea,Restless,Survey
Legal formalities keep me mentally occupied all day.,Lawyer,4,Green Tea,Tired,Social Media
Syllabus planning leaves me mentally tired.,Teacher,8,Milk Tea,Stressed,Survey
System outages at night disrupt my sleep.,Engineer,5,Energy Drink,Overwhelmed,Blog
Revising late at night makes me mentally tired.,Student,4,Green Tea,Overwhelmed,Social Media
Night duty frequently breaks my sleep cycle.,Nurse,4,Black Tea,Tired,Survey
Working on multiple brand campaigns at once overwhelms me.,Designer,7,Energy Drink,Stressed,Social Media
On-call duty during weekends affects my rest.,Doctor,6,Energy Drink,Stressed,Interview
Trying to manage budgets and beat tight deadlines drains me mentally.,Accountant,7,No Drink,Tired,Interview
Answering calls at unexpected times makes me uneasy.,Police Officer,6,Energy Drink,Nervous,Forum
Frequent virtual meetings leave me drained.,Software Developer,3,Energy Drink,Overwhelmed,Blog
Night shifts mess with my sleep cycle.,Customer Support Agent,6,Herbal Tea,Nervous,Survey
Late closing duties reduce my sleep time.,Chef,5,Milk Tea,Restless,Survey
Reviewing evidence until midnight is exhausting.,Lawyer,5,Herbal Tea,Stressed,Blog
Conducting back-to-back lectures wears me out.,Teacher,7,Herbal Tea,Restless,Forum
Solving critical bugs under pressure makes me restless.,Engineer,4,Milk Tea,Tired,Social Media
Balancing assignments and social life stresses me.,Student,7,Milk Tea,Anxious,Survey
Emergency cases at odd hours affect my mental peace.,Nurse,4,Black Tea,Stressed,Social Media
Client indecisiveness makes revisions never-ending.,Designer,7,Herbal Tea,Tired,Survey
On-call duty during weekends affects my rest.,Doctor,6,No Drink,Nervous,Social Media
Balancing financials with tight deadlines stresses me.,Accountant,4,Herbal Tea,Overwhelmed,Survey
Responding to calls at odd hours makes me anxious.,Police Officer,6,Black Tea,Restless,Survey
Code reviews and feature deadlines stress me.,Software Developer,5,Coffee,Anxious,Blog
It's exhausting to handle frustrated clients all day long.,Customer Support Agent,8,Green Tea,Tired,Social Media
Managing kitchen staff during rush hours stresses me.,Chef,7,Black Tea,Nervous,Forum
Back-to-back hearings give me anxiety.,Lawyer,7,Milk Tea,Tired,Blog
Unruly students make classroom management stressful.,Teacher,7,Herbal Tea,Stressed,Interview
Solving critical bugs under pressure makes me restless.,Engineer,6,No Drink,Overwhelmed,Forum
Too many exams close together make me anxious.,Student,4,Black Tea,Stressed,Survey
Night duty frequently breaks my sleep cycle.,Nurse,5,Energy Drink,Nervous,Forum
Coming up with creative concepts under pressure is tiring.,Designer,4,Herbal Tea,Stressed,Social Media
On-call duty during weekends affects my rest.,Doctor,3,Herbal Tea,Overwhelmed,Blog
Constant data verification is mentally tiring.,Accountant,7,Black Tea,Restless,Blog
Night patrols disturb my sleep routine.,Police Officer,5,Coffee,Restless,Interview
Code reviews and feature deadlines stress me.,Software Developer,4,Black Tea,Restless,Social Media
Handling angry clients all day is exhausting.,Customer Support Agent,8,Energy Drink,Stressed,Social Media
Long hours in a hot kitchen leave me tired.,Chef,3,Green Tea,Restless,Forum
Back-to-back hearings give me anxiety.,Lawyer,4,Energy Drink,Tired,Survey
Unruly students make classroom management stressful.,Teacher,8,Black Tea,Overwhelmed,Forum
Technical meetings all day are mentally exhausting.,Engineer,8,Coffee,Tired,Forum
Revising late at night makes me mentally tired.,Student,7,Milk Tea,Nervous,Blog
Night duty frequently breaks my sleep cycle.,Nurse,3,No Drink,Tired,Blog
Working on multiple brand campaigns at once overwhelms me.,Designer,5,Coffee,Nervous,Blog
On-call duty during weekends affects my rest.,Doctor,8,Black Tea,Stressed,Blog
Managing finances while meeting tight deadlines puts a lot of pressure on me,Accountant,4,No Drink,Anxious,Blog
